Term,Description,Context
SEYSMO,(AOST) 8. gravimeter (GRAS 1) 9. seismometer,+ KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST)  8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB) 
TERMOFOB,8. gravimeter (GRAS 1) 9. seismometer (SEYSMO) 10. thermo detector,+ KhMS-1F chromatograph + MAL-1F mass spectrometer) 2. gamma-ray spectrometer (FOGS) 3. neutron spectrometer (KhEND) 4. Mössbauer spectrometer (MIMOS) 5. laser mass spectrometer (LAZMA) 6. mass spectrometer for secondary ions (MANAGA) 7. Fourier spectrometer (AOST)  8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB) 
DPR,11. long wave radar, 8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB)  11. long-wave radar (DPR) 12. micrometeoroid detector (METEOR) 13. plasma complex (FPMS) 14. ultra-stable oscillator (USO) 15. optical sun star sensor (LIBRATSIYA) 
METEOR,11. long wave radar (DPR) 12. micrometeoroid detector, 8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB)  11. long-wave radar (DPR) 12. micrometeoroid detector (METEOR) 13. plasma complex (FPMS) 14. ultra-stable oscillator (USO) 15. optical sun star sensor (LIBRATSIYA) 
FPMS,micrometeoroid detector (METEOR) 13. plasma complex, 8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB)  11. long-wave radar (DPR) 12. micrometeoroid detector (METEOR) 13. plasma complex (FPMS) 14. ultra-stable oscillator (USO) 15. optical sun star sensor (LIBRATSIYA) 
USO,(FPMS) 14. ultra stable oscillator, 8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB)  11. long-wave radar (DPR) 12. micrometeoroid detector (METEOR) 13. plasma complex (FPMS) 14. ultra-stable oscillator (USO) 15. optical sun star sensor (LIBRATSIYA) 
LIBRATSIYA,complex (FPMS) 14. ultra stable oscillator (USO) 15. optical sun star sensor, 8. gravimeter (GRAS-1) 9. seismometer (SEYSMO) 10. thermo-detector (TERMOFOB)  11. long-wave radar (DPR) 12. micrometeoroid detector (METEOR) 13. plasma complex (FPMS) 14. ultra-stable oscillator (USO) 15. optical sun star sensor (LIBRATSIYA) 
LYULIN,16. microscope (MikroOmega) 17. dosimeter, 16. microscope (MikroOmega)  17. dosimeter (LYULIN) 
TSNN,dosimeter (LYULIN) 18. TV system, 17. dosimeter (LYULIN)  18. TV system (TSNN) 19. stereo and panoramic TV camerasResults: Fobos-Grunt was a highly ambitious mis 
PM,Stage,"testing out several new technologies. The space-craft was divided into three parts: a Flight Stage  (PM), a Return Vehicle (VA)Šwhich included a  "
VA,Return Vehicle,"testing out several new technologies. The space-craft was divided into three parts: a Flight Stage  (PM), a Return Vehicle (VA)Šwhich included a  "
SA,Reentry Vehicle,"(PM), a Return Vehicle (VA)Šwhich included a  Reentry Vehicle (SA)Šand the Main Propulsion  "
MDU,Main Propulsion Unit,Reentry Vehicle (SA)Šand the Main Propulsion  Unit (MDU). After a voyage lasting about 10  
MAHLI,camera (Mastcam) 2. Mars hand lens imager,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
MARDI,lens imager (MAHLI) 3. Mars descent imager,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
APXS,(MARDI) 4. alpha x ray spectrometer,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
SAM,analysis at Mars instrument suite,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
RAD,(SAM) 8. radiation assessment detector,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
DAN,9. dynamic albedo of neutrons,SLC-41 Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN) 
REMS,10. rover environment monitoring station,"Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN)  10. rover environment monitoring station (REMS) 11. Mars science laboratory entry descent and landing instrument (MEDLI)Results: The Mars Science Laboratory (MSL), part of NASA™s Mars Exploration Program, consists of a  "
MEDLI,science laboratory entry descent and landing instrument,"Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN)  10. rover environment monitoring station (REMS) 11. Mars science laboratory entry descent and landing instrument (MEDLI)Results: The Mars Science Laboratory (MSL), part of NASA™s Mars Exploration Program, consists of a  "
MSL,Mars Science Laboratory,"Scientific Instruments: 1. mast camera (Mastcam) 2. Mars hand lens imager (MAHLI) 3. Mars descent imager (MARDI) 4. alpha x-ray spectrometer (APXS) 5. chemistry and camera (ChemCam) 6. chemistry and mineralogy x-ray dif-fraction/x-ray fluorescence instrument (CheMin) 7. sample analysis at Mars instrument suite (SAM) 8. radiation assessment detector (RAD) 9. dynamic albedo of neutrons (DAN)  10. rover environment monitoring station (REMS) 11. Mars science laboratory entry descent and landing instrument (MEDLI)Results: The Mars Science Laboratory (MSL), part of NASA™s Mars Exploration Program, consists of a  "
EDL,"entry, descent, and landing","a trajectory to Mars. MSL used a unique entry,  descent, and landing (EDL) profile, designed to  "
MAHLI,by the rover™s Mars Hand Lens Imager,Obama and Vice-President Joe Biden. The image was tak -en by the rover™s Mars Hand Lens Imager (MAHLI) on 19  
MRO,Mars Reconnaissance Orbiter,on 13 December 2014 by the HiRISE camera on  board Mars Reconnaissance Orbiter (MRO); the image clearly showed the rover as it was examining  
REMS,Rover Environmental Monitoring Station,named Buckskin and found rocks with high silica and hydrogen content. It then headed upward and Visible at the bottom (the thick vertical rod) is the Rover  Environmental Monitoring Station (REMS) built by the  
CAB,Centro de Astrobiologia," Centro de Astrobiologia (CAB) in Madrid, Spain. The pen "
MARS,Atlantic Regional Spaceport,Launch Site: Mid Atlantic Regional Spaceport  (MARS) / Pad 0B 
UVS,ultraviolet and visible light spectrometer,(MARS) / Pad 0B Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi 
NMS,spectrometer (UVS)2. neutral mass spectrometer,(MARS) / Pad 0B Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi 
LDEX,mass spectrometer (NMS)3. lunar dust experiment,(MARS) / Pad 0B Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi 
LLCD,(LDEX)4. lunar laser communications demonstration experiment,(MARS) / Pad 0B Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi 
LADEE,Atmosphere and Dust Envi ronment Explorer,"Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi -ronment Explorer (LADEE), the first mission in  "
LRO,Lunar Reconnaissance Orbiter,that involved another spacecraft was NASA™s Lunar  Reconnaissance Orbiter (LRO) taking a photo of  
MOM,Mars Orbiter Mission,the˜Moon.233Mangalyaan / Mars Orbiter  Mission (MOM)Nation: India (2) 
MCC,Instruments:1. Mars color camera,Launch Site: SHAR / PSLV pad Scientific Instruments:1. Mars color camera (MCC)2. thermal infrared imaging spectrometer (TIS)3. methane sensor for Mars (MSM)4. Mars exospheric neutral composition ana-lyzer (MENCA) 
TIS,(MCC)2. thermal infrared imaging spectrometer,Launch Site: SHAR / PSLV pad Scientific Instruments:1. Mars color camera (MCC)2. thermal infrared imaging spectrometer (TIS)3. methane sensor for Mars (MSM)4. Mars exospheric neutral composition ana-lyzer (MENCA) 
MSM,(TIS)3. methane sensor for Mars,Launch Site: SHAR / PSLV pad Scientific Instruments:1. Mars color camera (MCC)2. thermal infrared imaging spectrometer (TIS)3. methane sensor for Mars (MSM)4. Mars exospheric neutral composition ana-lyzer (MENCA) 
MENCA,(MSM)4. Mars exospheric neutral composition ana lyzer,Launch Site: SHAR / PSLV pad Scientific Instruments:1. Mars color camera (MCC)2. thermal infrared imaging spectrometer (TIS)3. methane sensor for Mars (MSM)4. Mars exospheric neutral composition ana-lyzer (MENCA) 
LAP,(MENCA) 5. Lyman alpha photometer,Scientific Instruments:1. Mars color camera (MCC)2. thermal infrared imaging spectrometer (TIS)3. methane sensor for Mars (MSM)4. Mars exospheric neutral composition ana-lyzer (MENCA) 5. Lyman alpha photometer (LAP) 
SWEA,fields packagea. solar wind electron analyzer,SLC-41 Scientific Instruments:1. P&F particle and fields packagea. solar wind electron analyzer (SWEA)b. solar wind ion analyzer (SWIA)c. supra thermal and thermal ion composi-tion (STATIC) 
SWIA,analyzer (SWEA)b. solar wind ion analyzer,SLC-41 Scientific Instruments:1. P&F particle and fields packagea. solar wind electron analyzer (SWEA)b. solar wind ion analyzer (SWIA)c. supra thermal and thermal ion composi-tion (STATIC) 
STATIC,(SWIA)c. supra thermal and thermal ion composi tion,SLC-41 Scientific Instruments:1. P&F particle and fields packagea. solar wind electron analyzer (SWEA)b. solar wind ion analyzer (SWIA)c. supra thermal and thermal ion composi-tion (STATIC) 
SEP,solar energetic particle experiment,d.  solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  
LPW,Langmuir probe and waves experiment,d.  solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  
MAG,and waves experiment (LPW)f. magnetometer,d.  solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  
IUVS,remote sensing packagea. imaging ultraviolet spectrometer,d.  solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  
MAVEN,The Mars Atmosphere and Volatile Evolution, solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  Evolution (MAVEN) mission was selected as part  
TCAM,Complex 2 Scientific Instruments:Lander:1. terrain camera,Launch Site: Xichang / Launch Complex 2 Scientific Instruments:Lander:1. terrain camera (TCAM) 
LCAM,terrain camera (TCAM) 2. landing camera,Scientific Instruments:Lander:1. terrain camera (TCAM) 2. landing camera (LCAM) 
MUVT,(LCAM) 3. Moon based ultraviolet telescope,2. landing camera (LCAM) 3. Moon-based ultraviolet telescope (MUVT)4. extreme ultraviolet camera (EUVC)Yutu: 
EUVC,ultraviolet telescope (MUVT)4. extreme ultraviolet camera,2. landing camera (LCAM) 3. Moon-based ultraviolet telescope (MUVT)4. extreme ultraviolet camera (EUVC)Yutu: 
PCAM,ultraviolet camera (EUVC)Yutu: 1. panoramic camera,3. Moon-based ultraviolet telescope (MUVT)4. extreme ultraviolet camera (EUVC)Yutu: 1. panoramic camera (PCAM) 
LPR,(PCAM) 2. lunar penetrating radar,"1. panoramic camera (PCAM) 2. lunar penetrating radar (LPR)3. imaging spectrometer (VIS-NIR)4. active particle induced x-ray spectrometer (APXS)Results: Launched as part of the second phase of the Chinese Lunar Exploration Program, Chang™e 3  "
VIS-NIR,camera (PCAM) 2. lunar penetrating radar (LPR)3. imaging spectrometer,"1. panoramic camera (PCAM) 2. lunar penetrating radar (LPR)3. imaging spectrometer (VIS-NIR)4. active particle induced x-ray spectrometer (APXS)Results: Launched as part of the second phase of the Chinese Lunar Exploration Program, Chang™e 3  "
