Term,Definitions
ribbons,
riblets,Longitudinal striations forming V-shaped grooves on aerodynamic and hydrodynamic surfaces. The riblet devices act to reduce large-scale disturbances near the boundary layer. These grooves are dimensional on the order of the wall vortices and turbulent dimensions.
riboflavin,
ribonucleic acids,"A chemical found in the nucleus and cytoplasm of cells. It plays an important role in protein synthesis and other chemical activities of the cell. Used for RNA, messenger RNA, transfer RNA, and ribosomal RNA."
ribose,
ribosomes,"A class of multi-component structures found in all cells, in mitochondria, and chloroplasts. They have roles both in genetic translation of transcripts and in the manufacture and secretion of the proteins."
ribs (supports),
Riccati equation,
rice,
Richards theorem,
Richardson number,A nondimensional number arising in the study of shearing flows of a stratified fluid.
~ ridges,
riding quality,
Riemann manifold,
Riemann waves,
Riesz theorem,
rifles,
RIFT (reactor in flight test),
rigging,
rigid mounting,
rigid rotor helicopters,
rigid rotors,
rigid rotors (plasma physics),Ensembles of electrons moving in circular or nearly circular orbits at a constant angular frequency.
rigid structures,
rigid wings,
~ rigidity,
rims,
ring currents,
ring discharge,
ring galaxies,
ring lasers,
ring structures,
ring wings,
Ringleb flow,
~ rings,
rings (mathematics),
Rio Grande (North America),
riometers,
ripples,
RISC processors,"A type of computer processor designed to optimize total system performance by simple, fast decoding of the instructions most commonly employed in computer operations and characterized by: a simple instruction set with the majority of instructions being single cycle; instructions that are register-to-register with LOAD and STORE commands being the only memory-reference instructions; very few addressing modes; hardwired control; instructions with one or two sizes and with fields at fixed locations; and some degree of pipelining."
risers,
risk,The combined effect of the liklihood of an unfavorable occurrence and the potential impact of that occurrence.
risk assessment,"The identification, evaluation, and estimation of the levels of risks involved in a situation, their comparison against benchmarks or standards, and determination of an acceptable level of risk."
risk management,"An organized, systematic process that identifies, analyzes, tracks, controls, communicates and documents risks to increase the likelihood of achieving success."
RIT engines,Radio frequency ion thrustors which generate thrust by converting electric energy into a reaction force by utilizing an electromagnetic field. Used for radio frequency ion thrustor engines.
Ritz averaging method,
river basins,
rivers,"A general term for natural fresh water surface streams of considerable volume and permanent or seasonal flow, moving in definite channels toward seas, lakes, or other rivers. Rivers are large streams or ones larger than brooks or creeks, such as trunk systems and the larger branches of drainage systems."
riveted joints,
riveting,
rivets,
RL-10-A-1 engine,
RL-10-A-3 engine,
RL-10 engines,
RL circuits,
RLC circuits,
roads,
roadway powered vehicles,Surface vehicles utilizing a combination of an electrical power source embedded in a roadway and an inductive coupled power pickup.
roasting,
ROBIN balloons,
robot arms,
robot control,
robot dynamics,
robot sensors,
robotics,A discipline that employs the principles and techniques of mechanical and electrical engineering and artificial intelligence to develop programmable or self-controlled machines that often include sensory systems and a degree of intelligence.
